ticker,community,intermediate_community
BIIB,14,"[14, 14]"
BKNG,15,"[15, 15]"
CERN,18,"[18, 18]"
CSX,26,"[26, 26]"
CTSH,28,"[28, 28]"
ADBE,29,"[29, 29]"
AVGO,29,"[29, 29]"
CRWD,29,"[29, 29]"
CTAS,29,"[29, 29]"
DLTR,29,"[29, 29]"
DOCU,29,"[29, 29]"
DXCM,29,"[29, 29]"
EBAY,29,"[29, 29]"
FB,29,"[29, 29]"
GOOG,29,"[29, 29]"
ILMN,29,"[29, 29]"
INTU,29,"[29, 29]"
LULU,29,"[29, 29]"
MRVL,29,"[29, 29]"
MSFT,29,"[29, 29]"
NVDA,29,"[29, 29]"
QCOM,29,"[29, 29]"
SPLK,29,"[29, 29]"
XLNX,29,"[29, 29]"
EA,32,"[32, 32]"
FISV,37,"[37, 37]"
HON,43,"[43, 43]"
JD,50,"[50, 50]"
KDP,51,"[51, 51]"
ADI,54,"[91, 54]"
AMAT,54,"[54, 54]"
LRCX,54,"[54, 54]"
TXN,54,"[91, 54]"
MAR,56,"[56, 56]"
MCHP,57,"[57, 57]"
MDLZ,58,"[58, 58]"
MNST,60,"[60, 60]"
MTCH,64,"[64, 64]"
AEP,67,"[67, 67]"
ALGN,67,"[67, 67]"
AMGN,67,"[67, 67]"
ASML,67,"[67, 67]"
ATVI,67,"[67, 67]"
BIDU,67,"[67, 67]"
CDNS,67,"[67, 67]"
CDW,67,"[67, 67]"
CHTR,67,"[67, 67]"
CMCSA,67,"[67, 67]"
COST,67,"[67, 67]"
CSCO,67,"[67, 67]"
EXC,67,"[67, 67]"
FAST,67,"[67, 67]"
GILD,67,"[67, 67]"
GOOGL,67,"[67, 67]"
INCY,67,"[67, 67]"
INTC,67,"[67, 67]"
ISRG,67,"[67, 67]"
MELI,67,"[67, 67]"
MRNA,67,"[67, 67]"
MU,67,"[67, 67]"
NFLX,67,"[67, 67]"
NTES,67,"[67, 67]"
REGN,67,"[67, 67]"
SNPS,67,"[67, 67]"
TEAM,67,"[67, 67]"
TSLA,67,"[67, 67]"
VRSK,67,"[67, 67]"
KLAC,69,"[69, 69]"
NXPI,69,"[69, 69]"
AAPL,77,"[77, 77]"
ADP,77,"[35, 77]"
ADSK,77,"[35, 77]"
AMD,77,"[35, 77]"
AMZN,77,"[77, 77]"
ANSS,77,"[77, 77]"
CHKP,77,"[35, 77]"
CPRT,77,"[77, 77]"
FOX,77,"[77, 77]"
FOXA,77,"[77, 77]"
IDXX,77,"[77, 77]"
KHC,77,"[35, 77]"
ORLY,77,"[77, 77]"
PAYX,77,"[35, 77]"
PCAR,77,"[35, 77]"
PDD,77,"[35, 77]"
PEP,77,"[35, 77]"
PYPL,77,"[77, 77]"
SBUX,77,"[77, 77]"
SWKS,77,"[77, 77]"
TCOM,77,"[35, 77]"
WBA,77,"[77, 77]"
ROST,80,"[80, 80]"
SGEN,82,"[82, 82]"
SIRI,83,"[83, 83]"
TMUS,89,"[89, 89]"
VRSN,93,"[93, 93]"
VRTX,94,"[94, 94]"
OKTA,96,"[96, 96]"
WDAY,96,"[96, 96]"
XEL,97,"[97, 97]"
PTON,99,"[99, 99]"
ZM,99,"[99, 99]"
